caller_module,callee_module,relationships,call_sites
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\COLSYSDI.C,D:\MOX\BILL.C,1,1
D:\MOX\OTHERS\COLSYSDI.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\BILL.C,1,1
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\COLDRAW.C,1,1
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\COLMOVE.C,1,1
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\BOMB.C,1,1
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\CMBTFIRE.C,1,1
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\DIP-SCRN.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\DIPLOMAC.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\AIMOVE.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\CHAT.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\COMBFIND.C,L:\MOX\INITGAME.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\BOMB.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\KEN.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\MISC.C,1,1
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\COMBINIT.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\DESBOX.C,D:\MOX\JIM.C,1,1
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\AIBUILD.C,1,1
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\COLONY.C,1,1
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\EVANHELP.C,D:\MOX\OTHERS\MOVEBOX.C,1,1
D:\MOX\OTHERS\FAKEBUTS.C,D:\MOX\BILL.C,1,1
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\EVANHELP.C,1,1
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\CMBTDRW1.C,1,1
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\FLEETPOP.C,1,1
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\MAINTAIN.C,1,1
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\SYS.C,1,1
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\DESIGN.C,1,1
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\SYS.C,1,1
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\OTHERS\FLT2.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\HACCESS.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\HACCESS.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\ESTRINGS.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\MISC.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\SHIPMOVE.C,1,1
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\TECHINIT.C,1,1
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\CMBTMIS.C,1,1
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\HOMEGEN.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\EVANHELP.C,1,1
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\RACESEL.C,1,1
D:\MOX\OTHERS\HOTPOP.C,L:\MOX\INITGAME.C,1,1
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\BOMB.C,1,1
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\COLBLDG.C,1,1
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\KEN.C,D:\MOX\JIM.C,1,1
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\COLXPORT.C,1,1
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\NETMOX.C,1,1
D:\MOX\OTHERS\LOSTSHIP.C,D:\MOX\OTHERS\COMBFIND.C,1,1
D:\MOX\OTHERS\LOSTSHIP.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\EVANHELP.C,1,1
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\LOADSAVE.C,1,1
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\REPORT.C,1,1
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\CMBTDRW1.C,1,1
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\MAINPUPS.C,1,1
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\SCORE.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\COLLAND.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\EVANHELP.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\FLEETPOP.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\NAMESTAR.C,1,1
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\SETTLER.C,1,1
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\AIPOWER.C,1,1
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\MISC.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\MSG.C,D:\MOX\OTHERS\AIBUILD.C,1,1
D:\MOX\OTHERS\MSG.C,D:\MOX\OTHERS\KEN.C,1,1
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\CHAT.C,1,1
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\REPORT.C,1,1
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\SCORE.C,1,1
D:\MOX\OTHERS\NAMESTAR.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\BOMB.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\CHAT.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\CMBTMOV1.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\NETTURN.C,1,1
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\REPORT.C,1,1
D:\MOX\OTHERS\NETMOX.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\COMBFIND.C,1,1
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\NETTURN.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\NETTURN.C,L:\MOX\NEXTTURN.C,1,1
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\RACESEL.C,1,1
D:\MOX\OTHERS\NEWGAME.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\COLXPORT.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\ERICHELP.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\NEWTECH.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\NEWTECH.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\OCPOLPUP.C,D:\MOX\OTHERS\ERICHELP.C,1,1
D:\MOX\OTHERS\OCPOLPUP.C,D:\MOX\OTHERS\ESTRINGS.C,1,1
D:\MOX\OTHERS\OCPOLPUP.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\OFFICER.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\CMBTDRW1.C,1,1
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\EVANHELP.C,1,1
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\SYS.C,1,1
D:\MOX\OTHERS\PLNTSUM.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\MISC.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\ANTAROOM.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\COLONY.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\RACEOPT.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\REPORT.C,D:\MOX\SCIENCE.C,1,1
D:\MOX\OTHERS\REPORT.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\REPORT.C,L:\MOX\NEXTTURN.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\COLBLDG.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\COMBFIND.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\NETMOX.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\NETSTART.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\NETTURN.C,1,1
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\REPORT.C,1,1
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\RACEOPT.C,1,1
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\SETTLER.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\SETTLER.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\COMBFIND.C,1,1
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\MISC.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\SHIPSTAK.C,1,1
D:\MOX\OTHERS\SHIPSTAK.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\SHIPSTAK.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\SPY.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\OTHERS\SYS.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\TECHINIT.C,D:\MOX\OTHERS\NEWTECH.C,1,1
D:\MOX\OTHERS\TECHINIT.C,L:\MOX\LOADER.C,1,1
D:\MOX\OTHERS\TEXTBOX.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\RACERPRT.C,D:\MOX\BILLHELP.C,1,1
D:\MOX\RACERPRT.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\RACERPRT.C,D:\MOX\INFO.C,1,1
D:\MOX\RACESCRN.C,D:\MOX\BILLHELP.C,1,1
D:\MOX\RACESCRN.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\SPY.C,1,1
D:\MOX\RACESCRN.C,D:\MOX\RACERPRT.C,1,1
D:\MOX\SCIENCE.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\SCIENCE.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\SCIENCE.C,D:\MOX\TECH.C,1,1
D:\MOX\SMACK.C,D:\MOX\JIM.C,1,1
D:\MOX\TECH.C,D:\MOX\OTHERS\COLONY.C,1,1
D:\MOX\TECH.C,D:\MOX\SCIENCE.C,1,1
D:\MOX\TURNSUM.C,D:\MOX\BILL.C,1,1
D:\MOX\TURNSUM.C,D:\MOX\BILLHELP.C,1,1
D:\MOX\TURNSUM.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\TURNSUM.C,D:\MOX\OTHERS\MAINSCR.C,1,1
L:\MOX\ERICNET.C,D:\MOX\OTHERS\ASSERT.C,1,1
L:\MOX\ERICNET.C,D:\MOX\OTHERS\COLONY.C,1,1
L:\MOX\ERICNET.C,D:\MOX\OTHERS\HACCESS.C,1,1
L:\MOX\ERICNET.C,D:\MOX\OTHERS\INITSHIP.C,1,1
L:\MOX\ERICNET.C,D:\MOX\OTHERS\RUSS.C,1,1
L:\MOX\ERICNET.C,L:\MOX\INITGAME.C,1,1
L:\MOX\FILEDEF.C,D:\MOX\BILL.C,1,1
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\COLCALC.C,1,1
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\FLEETPOP.C,1,1
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\MAPGEN.C,1,1
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\MOVEBOX.C,1,1
L:\MOX\INITGAME.C,D:\MOX\DIPLOMAC.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\COLONIZE.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\FLT2.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\HACCESS.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\MSG.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\MULTPLAY.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\REPORT.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\TECHINIT.C,1,1
L:\MOX\INITGAME.C,D:\MOX\OTHERS\TRADE.C,1,1
L:\MOX\INITGAME.C,D:\MOX\RACECUST.C,1,1
L:\MOX\LOADER.C,D:\MOX\OTHERS\COLONY.C,1,1
L:\MOX\LOADER.C,D:\MOX\OTHERS\TECHINIT.C,1,1
L:\MOX\MOX2.C,D:\MOX\INFO.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\COLBLDG.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\COLLAND.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\COLONY.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\COLSUM.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\DESIGN.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\ESTRINGS.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\FLT1.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\HOTPOP.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\KEN.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\LOADSAVE.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\MAINMENU.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\MAINSCR.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\MISC.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\NETTURN.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\OFFICER.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\PLNTSUM.C,1,1
L:\MOX\MOX2.C,D:\MOX\OTHERS\SCORE.C,1,1
L:\MOX\MOX2.C,D:\MOX\RACESCRN.C,1,1
L:\MOX\MOX2.C,D:\MOX\TECH.C,1,1
L:\MOX\MOX2.C,D:\MOX\TURNSUM.C,1,1
L:\MOX\MOX2.C,L:\MOX\ALLOC.C,1,1
L:\MOX\MOX2.C,L:\MOX\LOADER.C,1,1
L:\MOX\MOX2.C,L:\MOX\NEXTTURN.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\BILL.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\COUNCIL.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\NPCDIPLO.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AIBUILD.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AIDUDES.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AILEADER.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AIMOVE.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\ANTARANS.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\COMBFIND.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\CONTACT.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\HAROLD.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\INITSHIP.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\INVASION.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\LOSTSHIP.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\MAINTAIN.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\REPORT.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\SETTLER.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\SPY.C,1,1
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\TRADE.C,1,1
L:\MOX\NEXTTURN.C,L:\MOX\ERICNET.C,1,1
L:\MOX\NEXTTURN.C,L:\MOX\FILEDEF.C,1,1
L:\MOX\NEXTTURN.C,L:\MOX\MOX2.C,1,1
